"filename", "language", "SCSS", "CSS", "HTML", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/verified-icon-white.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 1, 4
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/svg-assets/whatsapp-logo-white.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 1, 5
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/public/media/tailormade-accordion-studiopro.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 1, 10
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/_components-styles.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/growth-services/_components-styles.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/growth-services/index.html", "HTML", 0, 0, 1737, 0, 0, 0, 31, 176, 1944
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/dist/studiopro/index.html", "HTML", 0, 0, 2011, 0, 0, 0, 42, 222, 2275
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/burger.js", "JavaScript", 0, 0, 0, 0, 0, 18, 0, 4, 22
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/fixed-header.js", "JavaScript", 0, 0, 0, 0, 0, 29, 1, 5, 35
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/js-build/burger-dist.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1, 0, 2
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/js-build/fixed-header-dist.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1, 0, 2
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/open-details.js", "JavaScript", 0, 0, 0, 0, 0, 23, 2, 5, 30
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/open-history.js", "JavaScript", 0, 0, 0, 0, 0, 23, 2, 5, 30
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/open-verified.js", "JavaScript", 0, 0, 0, 0, 0, 23, 2, 5, 30
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/product-header.js", "JavaScript", 0, 0, 0, 0, 0, 35, 11, 10, 56
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/selector-product.js", "JavaScript", 0, 0, 0, 0, 0, 42, 5, 8, 55
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/sidebar-filter.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 4, 24
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/swiper.js", "JavaScript", 0, 0, 0, 0, 0, 21, 3, 4, 28
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/js/whatsapp-button.js", "JavaScript", 0, 0, 0, 0, 0, 10, 2, 3, 15
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/footer/index.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/footer/index.html", "HTML", 0, 0, 66, 0, 0, 0, 0, 6, 72
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/footer/index.scss", "SCSS", 105, 0, 0, 0, 0, 0, 3, 13, 121
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/_containerfeed.scss", "SCSS", 267, 0, 0, 0, 0, 0, 13, 43, 323
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/_inside-panel-styles.scss", "SCSS", 26, 0, 0, 0, 0, 0, 0, 2, 28
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/index.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/index.html", "HTML", 0, 0, 702, 0, 0, 0, 11, 67, 780
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-desk/index.scss", "SCSS", 148, 0, 0, 0, 0, 0, 10, 21, 179
"/Users/louislebras/Dropbox/STAMINA/www/donzellissr/layout/header-mobile/index.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 0, 1
